Seq Title	Query Name	Query Length	Alignment Title	Alignment ID	Alignment Def	eValue	Coverage	Percent_ID	Alignment_Length	OG
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	gb|KAH3767557.1| hypothetical protein Pelo_586 [Pelomyxa schiedti]	gb|KAH3767557.1|	hypothetical protein Pelo_586 [Pelomyxa schiedti]	1.1e-49	0.33676975945017185	0.4897959183673469	196	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	gb|KAH3756721.1| hypothetical protein Pelo_11490 [Pelomyxa schiedti]	gb|KAH3756721.1|	hypothetical protein Pelo_11490 [Pelomyxa schiedti]	2.68915e-48	0.359106529209622	0.44019138755980863	209	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	ref|XP_004989320.1| uncharacterized protein PTSG_09956 [Salpingoeca rosetta] >gb|EGD79235.1| hypothetical protein PTSG_09956 [Salpingoeca rosetta]	ref|XP_004989320.1|	uncharacterized protein PTSG_09956 [Salpingoeca rosetta] >gb|EGD79235.1| hypothetical protein PTSG_09956 [Salpingoeca rosetta]	7.99424e-21	0.33676975945017185	0.32142857142857145	196	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	emb|CAE7255728.1| unnamed protein product, partial [Symbiodinium natans]	emb|CAE7255728.1|	unnamed protein product, partial [Symbiodinium natans]	1.65713e-15	0.3402061855670103	0.29797979797979796	198	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	emb|CAE7940561.1| unnamed protein product, partial [Symbiodinium sp. KB8]	emb|CAE7940561.1|	unnamed protein product, partial [Symbiodinium sp. KB8]	1.33605e-14	0.34192439862542956	0.2864321608040201	199	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	emb|CAE6921858.1| unnamed protein product [Symbiodinium sp. CCMP2592]	emb|CAE6921858.1|	unnamed protein product [Symbiodinium sp. CCMP2592]	2.53412e-14	0.34192439862542956	0.2864321608040201	199	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	emb|CAE7777597.1| unnamed protein product [Symbiodinium sp. CCMP2456]	emb|CAE7777597.1|	unnamed protein product [Symbiodinium sp. CCMP2456]	4.00755e-14	0.34192439862542956	0.2864321608040201	199	OG0002058.fa
Am_tu_As07_XX_Transcript_15509_Len_734.pORF1_OG0002058.fa	Query_56459	582	emb|CAE7837276.1| rsmF [Symbiodinium microadriaticum]	emb|CAE7837276.1|	rsmF [Symbiodinium microadriaticum]	5.76011e-14	0.34192439862542956	0.2864321608040201	199	OG0002058.fa
Am_tu_Aint_XX_Transcript_18894_Len_689.pORF1_OG0001242.fa	Query_397041	489	gb|KAF2077273.1| hypothetical protein CYY_001397 [Polysphondylium violaceum]	gb|KAF2077273.1|	hypothetical protein CYY_001397 [Polysphondylium violaceum]	1.07074e-22	0.3333333333333333	0.38650306748466257	163	OG0001242.fa
Am_tu_Aint_XX_Transcript_18894_Len_689.pORF1_OG0001242.fa	Query_397041	489	ref|XP_052273950.1| calmodulin-A-like [Dreissena polymorpha] >gb|KAH3848217.1| hypothetical protein DPMN_090576 [Dreissena polymorpha]	ref|XP_052273950.1|	calmodulin-A-like [Dreissena polymorpha] >gb|KAH3848217.1| hypothetical protein DPMN_090576 [Dreissena polymorpha]	1.17451e-22	0.3006134969325153	0.41496598639455784	147	OG0001242.fa
